"filename", "language", "PHP", "JSON with Comments", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\eladeb\controller\conexaoBancoDados.php", "PHP", 11, 0, 0, 0, 0, 3, 2, 16
"c:\xampp\htdocs\eladeb\controller\conexaoDataBaseV2.php", "PHP", 11, 0, 0, 0, 0, 3, 2, 16
"c:\xampp\htdocs\eladeb\controller\dataBaseController.php", "PHP", 35, 0, 0, 0, 0, 0, 7, 42
"c:\xampp\htdocs\eladeb\css\avaliacao.css", "CSS", 0, 0, 0, 11, 0, 1, 1, 13
"c:\xampp\htdocs\eladeb\css\configLogin.css", "CSS", 0, 0, 0, 96, 0, 0, 0, 96
"c:\xampp\htdocs\eladeb\css\util.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\eladeb\eladeb.code-workspace", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\eladeb\index.html", "HTML", 0, 0, 0, 0, 75, 4, 10, 89
"c:\xampp\htdocs\eladeb\indexBack.php", "PHP", 73, 0, 0, 0, 0, 12, 18, 103
"c:\xampp\htdocs\eladeb\js\ajax-script.js", "JavaScript", 0, 0, 16, 0, 0, 0, 1, 17
"c:\xampp\htdocs\eladeb\js\eladeb.js", "JavaScript", 0, 0, 385, 0, 0, 98, 74, 557
"c:\xampp\htdocs\eladeb\js\gameEladeb.js", "JavaScript", 0, 0, 78, 0, 0, 20, 14, 112
"c:\xampp\htdocs\eladeb\js\jquery-3.6.0.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 1, 3
"c:\xampp\htdocs\eladeb\logout.php", "PHP", 21, 0, 0, 0, 0, 7, 8, 36
"c:\xampp\htdocs\eladeb\trash\avaliacaoA.php", "PHP", 81, 0, 0, 0, 0, 1, 9, 91
"c:\xampp\htdocs\eladeb\trash\avaliacaoControllerSelPaciente.php", "PHP", 19, 0, 0, 0, 0, 0, 4, 23
"c:\xampp\htdocs\eladeb\trash\avaliacaoRelatorio.php", "PHP", 15, 0, 0, 0, 0, 1, 8, 24
"c:\xampp\htdocs\eladeb\trash\avaliacaoRelatorioB.html", "HTML", 0, 0, 0, 0, 10, 0, 2, 12
"c:\xampp\htdocs\eladeb\trash\avaliacaoSelecionarPaciente.php", "PHP", 84, 0, 0, 0, 0, 3, 16, 103
"c:\xampp\htdocs\eladeb\useradministrador\deplyment\cadFisioterapeuta.php", "PHP", 23, 0, 0, 0, 0, 0, 7, 30
"c:\xampp\htdocs\eladeb\useradministrador\deplyment\cadastrarFisioterapeuta.html", "HTML", 0, 0, 0, 0, 32, 0, 3, 35
